FRN,471 Application Number,Billed Entity Name,Applicant Type,Applicant Street Address 1,Applicant City,Applicant Zip Code,Fund Year,Cmtd Total Cost,FRN Committed Amount,Total Authorized Disbursement
1899000022,181000025,SHELBYVILLE SCHOOL DISTRICT,School District,"343 FM 417 WEST, PO BOX 325",SHELBYVILLE,	75973,2018,"$27,600.00","$22,080.00","$22,080.00"
1899000032,181000032,ANTHONY INDEP SCHOOL DISTRICT,School District,840 SIXTH STREET,ANTHONY,	79821,2018,"$29,400.00","$26,460.00","$24,087.47"
1899000036,181000035,ABBOTT INDEP SCHOOL DISTRICT,School District,219 SOUTH FIRST STREET,ABBOTT,	76621,2018,"$23,900.04","$14,340.02","$14,340.02"
1899000086,181000096,RAPOPORT ACADEMY PUBLIC SCHOOL,School District,1020 ELM AVE,WACO,	76704,2018,"$64,650.00","$51,720.00","$43,169.24"
1899000208,181000183,FRIENDSWOOD INDEP SCH DISTRICT,School District,302 LAUREL DR,FRIENDSWOOD,	77546,2018,"$30,079.92","$12,031.97","$12,031.97"
1899000223,181000183,FRIENDSWOOD INDEP SCH DISTRICT,School District,302 LAUREL DR,FRIENDSWOOD,	77546,2018,"$42,000.00","$16,800.00","$16,800.00"
1899000290,181000256,WICHITA FALLS INDEPENDENT SCHOOL DISTRICT,School District,1104 BROAD STREET,WICHITA FALLS,	76301,2018,"$104,100.48","$83,280.38","$83,280.38"
1899000340,181000290,WICHITA FALLS INDEPENDENT SCHOOL DISTRICT,School District,1104 BROAD STREET,WICHITA FALLS,	76301,2018,"$544,411.81","$487,357.45","$486,693.04"
1899000358,181000307,NEDERLAND ISD,School District,220 N 17TH ST,NEDERLAND,	77627,2018,"$64,498.56","$38,699.14","$38,699.14"
1899000371,181000307,NEDERLAND ISD,School District,220 N 17TH ST,NEDERLAND,	77627,2018,"$30,162.00","$18,097.20","$17,647.20"
1899000435,181000358,POTH INDEP SCHOOL DISTRICT,School District,510 TITCOMB STREET,POTH,	78147,2018,"$94,990.00","$66,493.00","$66,318.00"
1899000519,181000407,CRAWFORD INDEP SCHOOL DISTRICT,School District,200 PIRATE DRIVE,CRAWFORD,	76638,2018,"$34,500.00","$17,250.00","$17,250.00"
1899000591,181000506,ALTO INDEP SCHOOL DISTRICT,School District,RT 1 BOX 1000,ALTO,	75925,2018,"$20,400.00","$16,320.00","$16,320.00"
1899000600,181000515,TYLER INDEP SCHOOL DISTRICT,School District,1319 EARL CAMPBELL PARKWAY,TYLER,	75701,2018,"$438,900.00","$263,340.00","$254,764.80"
1899000604,181000515,TYLER INDEP SCHOOL DISTRICT,School District,1319 EARL CAMPBELL PARKWAY,TYLER,	75701,2018,"$13,500.00","$8,100.00",
1899000649,181000543,MILANO INDEP SCHOOL DISTRICT,School District,500 N FIFTH STREET,MILANO,	76556,2018,"$65,096.04","$52,076.83","$52,076.83"
1899000654,181000256,WICHITA FALLS INDEPENDENT SCHOOL DISTRICT,School District,1104 BROAD STREET,WICHITA FALLS,	76301,2018,"$17,148.72","$13,718.98","$13,718.98"
1899000658,181000256,WICHITA FALLS INDEPENDENT SCHOOL DISTRICT,School District,1104 BROAD STREET,WICHITA FALLS,	76301,2018,"$134,214.84","$107,371.87","$105,582.38"
1899000708,181000536,BUCKHOLTS INDEP SCHOOL DIST,School District,"203 SOUTH 10TH STREET, PO 248",BUCKHOLTS,	76518,2018,"$58,448.04","$52,603.24","$52,603.20"
1899000842,181000674,LAKE DALLAS INDEP SCH DISTRICT,School District,104 Swisher Road,LAKE DALLAS,	75065,2018,"$48,045.12","$28,827.07","$25,797.69"
1899000880,181000699,EXCELSIOR INDEP SCHOOL DIST,School District,11270 STATE HIGHWAY 7 WEST,CENTER,	75935,2018,"$27,600.00","$24,840.00","$24,840.00"
