FRN,471 Application Number,Billed Entity Name,Applicant Type,Applicant Street Address 1,Applicant City,Applicant Zip Code,Fund Year,Cmtd Total Cost,FRN Committed Amount,Total Authorized Disbursement
1699000073,161000084,ST JEROME SCHOOL,School,8825 KEMPWOOD DR,HOUSTON,"	77080",2016,"$2,394.72 ","$1,436.83 ","$1,434.43 "
1699000323,161000369,TRUE CROSS SCHOOL,School,400 PINE DR,DICKINSON,"	77539",2016,"$1,162.92 ",$465.17 ,$464.78 
1699000328,161000376,ASSUMPTION CATHOLIC SCHOOL,School,801 ROSELANE ST,HOUSTON,"	77037",2016,$691.20 ,$552.96 ,$552.16 
1699000329,161000376,ASSUMPTION CATHOLIC SCHOOL,School,801 ROSELANE ST,HOUSTON,"	77037",2016,"$3,857.04 ","$3,085.63 ","$3,084.83 "
1699000330,161000378,CHRIST THE REDEEMER CATHOLIC SCHOOL,School,11511 HUFFMEISTER RD,HOUSTON,"	77065",2016,"$2,338.80 ",$935.52 ,$934.32 
1699000336,161000382,CORPUS CHRISTI SCHOOL,School,4005 CHEENA DR,HOUSTON,"	77025",2016,"$1,908.48 ",$763.39 ,$762.99 
1699000339,161000383,HOLY FAMILY GALVESTON CATHOLIC SCHOOL,School,2601 AVENUE N,GALVESTON,"	77550",2016,"$1,296.24 ",$777.74 ,$777.14 
1699000638,161000749,HOLY ROSARY SCHOOL,School,1408 JAMES ST,ROSENBERG,"	77471",2016,"$1,318.80 ",$527.52 ,$527.12 
1699000639,161000752,JOHN PAUL II SCHOOL,School,1400 PARKWAY PLAZA DR,HOUSTON,"	77077",2016,"$2,886.36 ","$1,154.54 ","$1,154.14 "
1699000641,161000753,OUR LADY OF FATIMA SCHOOL-GALENA PARK,School,1702 9TH ST,GALENA PARK,"	77547",2016,"$2,054.04 ","$1,027.02 ","$1,026.02 "
1699000822,161000834,EHRHART SCHOOL,School,3380 FANNIN,BEAUMONT,"	77701",2016,"$30,911.04 ","$27,819.94 ","$27,819.94 "
1699000935,161000968,OUR LADY OF GUADALUPE SCHOOL,School,2405 NAVIGATION BLVD,HOUSTON,"	77003",2016,"$1,952.76 ","$1,171.66 ","$1,171.06 "
1699000939,161000973,OUR LADY OF MT. CARMEL SCHOOL,School,6703 WHITEFRIARS DR,HOUSTON,"	77087",2016,"$1,208.76 ","$1,087.88 ","$1,086.98 "
1699000944,161000976,OUR LADY QUEEN OF PEACE,School,1600 HIGHWAY 2004,CLUTE,"	77531",2016,"$1,498.80 ",$599.52 ,$598.72 
1699000947,161000978,QUEEN OF PEACE SCHOOL,School,2320 OAKCLIFF ST,HOUSTON,"	77023",2016,"$3,583.92 ","$2,867.14 ","$2,866.34 "
1699000948,161000979,REGIS SCHOOL,School,7330 WESTVIEW DR # D,HOUSTON,"	77055",2016,"$2,276.28 ",$455.26 ,$455.06 
1699000949,161000980,SACRED HEART ELEMENTARY SCHOOL-CONROE,School,615 MCDADE ST,CONROE,"	77301",2016,"$1,541.40 ",$308.28 ,$308.08 
1699000971,161000995,SACRED HEART ELEMENTARY SCHOOL-CROSBY,School,907 RUNNEBURG RD,CROSBY,"	77532",2016,"$1,319.40 ",$659.70 ,$659.20 
1699000986,161001006,ST PETER'S MEMORIAL SCHOOL,School,1519 HOUSTON ST,LAREDO,"	78040",2016,"$1,141.20 ",$912.96 ,$912.16 
1699000988,161001009,MARY HELP OF CHRISTIAN SCHOOL,School,10 E DEL MAR BLVD,LAREDO,"	78041",2016,"$4,789.56 ","$1,915.82 ","$1,914.22 "
1699002509,161001160,COVINGTON SCHOOL,School,501 NORTH MAIN STREET,COVINGTON,"	76636",2016,"$34,899.96 ","$24,429.97 ","$24,429.97 "
1699003187,161002426,HOLY CROSS ELEMENTARY SCHOOL,School,2001 KATY AVE,BAY CITY,"	77414",2016,$652.56 ,$326.28 ,
1699003189,161002428,OUR LADY OF VICTORY SCHOOL,School,1309 E MESQUITE LN # L,VICTORIA,"	77901",2016,"$4,199.40 ","$1,679.76 ","$1,676.24 "
1699003191,161002428,OUR LADY OF VICTORY SCHOOL,School,1309 E MESQUITE LN # L,VICTORIA,"	77901",2016,$899.40 ,$359.76 ,$356.16 
1699003195,161002433,ST PHILIP SCHOOL,School,302 W CHURCH ST,EL CAMPO,"	77437",2016,"$2,047.80 ",$819.12 ,$779.14 
1699003197,161002434,ST ROSE OF LIMA SCHOOL,School,400 BLACK ST,SCHULENBURG,"	78956",2016,$871.44 ,$435.72 ,
1699004203,161003078,SACRED HEART ELEMENTARY SCHOOL,School,111 N CHURCH ST,ROCKPORT,"	78382",2016,"$2,400.00 ","$1,680.00 ","$1,680.00 "
