FRN,471 Application Number,Billed Entity Name,Applicant Type,Applicant Street Address 1,Applicant City,Applicant Zip Code,Fund Year,Cmtd Total Cost,FRN Committed Amount,Total Authorized Disbursement
1999000138,191000136,DRAW ACADEMY,School,3920 STONEY BROOK,HOUSTON,	77063,2019,"$47,426.88","$42,684.19","$39,613.86"
1999000243,191000257,WELLMAN UNION SCHOOL,School,505 Terry Ave,WELLMAN ,	79378,2019,"$56,160.00","$44,928.00","$28,512.00"
1999000388,191000427,PINEYWOODS COMMUNITY ACADEMY,School,602 SOUTH RAGUET STREET,LUFKIN,	75904,2019,"$26,400.00","$21,120.00","$12,044.40"
1999000411,191000442,CROSSTIMBERS ACADEMY CHARTER SCHOOL,School,"242 HARMONY ROAD, PO BOX 1327",WEATHERFORD,	76087,2019,"$10,199.88","$7,139.92","$7,139.92"
1999000427,191000464,CHINQUAPIN PREPARATORY SCHOOL,School,2615 E WALLISVILLE RD,HIGHLANDS,	77562,2019,"$26,160.00","$23,544.00","$23,544.00"
1999000443,191000478,EL PASO EDUCATION INITIATIVE INC DBA BURNHAM  WOOD CHARTER SCHOOL,School,7310 BISHOP FLORES DR,EL PASO,	79912,2019,"$48,000.00","$38,400.00","$38,400.00"
1999000473,191000489,TENAHA SCHOOLS,School,138 COLLEGE STREET,TENAHA,	75974,2019,"$42,000.00","$37,800.00","$37,800.00"
1999000493,191000534,ALL SAINTS EPISCOPAL SCHOOL,School,2695 S SOUTHWEST LOOP 323,TYLER,	75701,2019,"$20,400.00","$8,160.00","$8,160.00"
1999000981,191001144,HOUSTON CHRISTIAN HIGH SCHOOL,School,2700 W Sam Houston Pkwy N,HOUSTON,	77043,2019,"$20,892.00","$8,356.80","$8,356.80"
1999001002,191001159,ASCENSION ACADEMY,School,9301 ASCENSION PKWY,AMARILLO,	79119,2019,"$53,520.00","$26,760.00","$26,760.00"
1999001006,191001164,CHANNING PUBLIC SCHOOL,School,916 GREENWOOD,CHANNING,	79018,2019,"$44,520.00","$35,616.00","$35,616.00"
1999001122,191001299,CRISTO REY JESUIT COLLEGE PREPARATORY SCHOOL,School,6700 MOUNT CARMEL ST,HOUSTON,	77087,2019,"$14,542.20","$11,633.76",
1999001188,191001378,WALCOTT ELEMENTARY SCHOOL,School,4275 HWY 214,HEREFORD,	79045,2019,"$52,020.00","$41,616.00","$41,616.00"
1999002200,191002267,EHRHART SCHOOL,School,3380 FANNIN,BEAUMONT,	77701,2019,"$37,320.00","$29,856.00","$29,856.00"
1999002372,191002417,ST JEROME SCHOOL,School,8825 KEMPWOOD DR,HOUSTON,	77080,2019,"$2,638.80","$1,583.28","$1,578.48"
1999002376,191002417,ST JEROME SCHOOL,School,8825 KEMPWOOD DR,HOUSTON,	77080,2019,$498.60,$299.16,$297.36
1999002378,191002424,ASSUMPTION CATHOLIC SCHOOL,School,801 ROSELANE ST,HOUSTON,	77037,2019,"$2,698.80","$2,428.92","$2,425.95"
1999002382,191002428,CORPUS CHRISTI SCHOOL,School,4005 CHEENA DR,HOUSTON,	77025,2019,"$4,702.20","$1,880.88","$1,768.38"
1999002494,191002533,YELLOWSTONE ACADEMY,School,3000 TRULLEY STREET,HOUSTON,	77004,2019,"$17,400.00","$15,660.00","$15,120.00"
1999002679,191002722,O'CONNELL HIGH SCHOOL,School,1320 TREMONT ST,GALVESTON,	77550,2019,"$4,235.40","$1,694.16","$1,230.30"
1999002706,191002749,OUR LADY OF FATIMA SCHOOL-GALENA PARK,School,1702 9TH ST,GALENA PARK,	77547,2019,"$2,399.40","$1,439.64","$1,437.24"
1999002909,191002777,OUR LADY OF MT. CARMEL SCHOOL,School,6703 WHITEFRIARS DR,HOUSTON,	77087,2019,"$3,016.56","$2,714.90",
1999003039,191002998,OUR LADY OF LOURDES SCHOOL,School,10114 HIGHWAY 6,HITCHCOCK,	77563,2019,"$1,199.40",$719.64,$719.40
1999003042,191003003,OUR LADY QUEEN OF PEACE,School,1600 HIGHWAY 2004,CLUTE,	77531,2019,"$3,298.68","$1,319.47","$1,318.27"
1999003045,191003005,QUEEN OF PEACE SCHOOL,School,2320 OAKCLIFF ST,HOUSTON,	77023,2019,"$3,580.56","$2,864.45","$2,860.40"
1999003047,191003008,REGIS SCHOOL,School,7330 WESTVIEW DR # D,HOUSTON,	77055,2019,"$4,498.80",$899.76,$630.12
1999003059,191003015,SACRED HEART ELEMENTARY SCHOOL-CROSBY,School,907 RUNNEBURG RD,CROSBY,	77532,2019,"$1,319.40",$527.76,$526.96
1999003146,191003075,REGION VIII EDUCATION SERVICE CENTER,School,4845 US HIGHWAY 271 N,PITTSBURG,	75686,2019,"$24,790.20","$19,832.16","$19,832.16"
1999003438,191003306,ST MICHAEL'S CATHOLIC ACADEMY,School,3000 BARTON CREEK BLVD,AUSTIN,	78735,2019,"$17,208.00","$6,883.20","$6,883.20"
1999003863,191003643,ALL SAINTS CATHOLIC SCHOOL,School,7777 OSAGE PLAZA PARKWAY,DALLAS,	75252,2019,"$11,570.76","$4,628.30","$4,284.72"
1999003923,191003699,FORT WORTH COUNTRY DAY,School,4200 COUNTRY DAY LANE,FORT WORTH,	76109,2019,"$33,000.00","$13,200.00","$13,200.00"
1999004043,191003788,BISHOP LYNCH HIGH SCHOOL,School,9750 FERGUSON RD,DALLAS,	75228,2019,"$20,651.88","$8,260.75","$8,217.60"
1999005022,191004619,Meridian World School ,School,2555 N IH 35,ROUND ROCK,	78664,2019,"$22,215.84","$8,886.34","$8,886.34"
1999005634,191005064,ST ANTHONY ELEMENTARY SCHOOL,School,635 BONHAM ST,COLUMBUS,	78934,2019,"$10,233.60","$5,116.80","$5,115.30"
1999005637,191005066,ST JOSEPH HIGH SCHOOL,School,110 E RED RIVER ST,VICTORIA,	77901,2019,"$13,594.56","$5,437.82","$5,437.42"
1999006419,191001101,EDUCATION SERV CTR-REGION 7,School,1909 NORTH LONGVIEW ST.,KILGORE,	75662,2019,"$36,000.00","$28,800.00","$28,800.00"
1999006420,191001101,EDUCATION SERV CTR-REGION 7,School,1909 NORTH LONGVIEW ST.,KILGORE,	75662,2019,"$11,100.00","$8,880.00","$8,640.00"
1999006503,191005297,MAUD INDEPENDENT SCHOOL,School,389 HOUSTON ST,MAUD,	75567,2019,"$16,800.00","$13,440.00","$13,440.00"
1999006643,191005824,HOLY TRINITY ELEMENTARY SCHOOL,School,3815 OAK LAWN AVE,DALLAS,	75219,2019,"$11,551.56","$6,930.94","$6,930.94"
