county,20191,20192,20183,20184,total,county_name
001,3842,3981,3729,3937,46467,Anderson
003,6687,6367,6127,6680,77583,Andrews
005,3541,3496,3473,3631,42423,Angelina
007,3710,3711,3738,3763,44766,Aransas
009,3295,3501,3240,3522,40674,Archer
011,3422,3402,3729,3994,43641,Armstrong
013,4992,4929,4801,5121,59529,Atascosa
015,4394,4283,4099,4568,52032,Austin
017,3437,3539,3487,3681,42432,Bailey
019,3147,3273,3140,3381,38823,Bandera
021,3457,3506,3381,3597,41823,Bastrop
023,2841,2877,3044,3173,35805,Baylor
025,3292,3472,4286,3358,43224,Bee
027,4136,4243,3921,4336,49908,Bell
029,4615,4385,4167,4613,53340,Bexar
031,3789,4094,3938,4195,48048,Blanco
033,3327,3813,3357,6259,50268,Borden
035,3782,3783,3592,3818,44925,Bosque
037,3395,3544,3438,3681,42174,Bowie
039,5541,4982,4889,5120,61596,Brazoria
041,3832,3768,3739,3692,45093,Brazos
043,3313,3336,3313,3527,40467,Brewster
045,4436,4041,5130,4432,54117,Briscoe
047,3006,3217,3028,3213,37392,Brooks
049,3540,3444,3383,3592,41877,Brown
051,4207,3969,3882,4314,49116,Burleson
053,3785,3747,3658,3941,45393,Burnet
055,3445,3523,3342,3503,41439,Caldwell
057,6131,6286,5788,6121,72978,Calhoun
059,3504,3511,4511,4165,47073,Callahan
061,2858,2934,2807,3024,34869,Cameron
063,3790,3685,3530,3788,44379,Camp
065,8291,6606,7521,6589,87021,Carson
067,3351,3311,3359,3407,40284,Cass
069,3239,3309,3112,3567,39681,Castro
071,5895,6215,5391,5744,69735,Chambers
073,3247,3312,3153,3384,39288,Cherokee
075,3980,4198,3986,4900,51192,Childress
077,2988,3157,3024,3190,37077,Clay
079,3667,3605,3507,3840,43857,Cochran
081,4094,3765,3901,3872,46896,Coke
083,2730,2862,2706,2864,33486,Coleman
085,6610,5894,5796,5960,72780,Collin
087,3624,3492,3430,3966,43536,Collingsworth
089,3769,3950,3574,3955,45744,Colorado
091,3911,3826,3778,3973,46464,Comal
093,3160,3234,3070,3412,38628,Comanche
095,3185,3190,3034,3104,37539,Concho
097,4271,4274,4189,4517,51753,Cooke
099,3867,3776,3756,3818,45651,Coryell
101,4132,3728,3605,4018,46449,Cottle
103,7827,6622,5882,6799,81390,Crane
105,4413,4078,3897,4415,50409,Crockett
107,3340,3253,3150,3585,39984,Crosby
109,4531,5006,4530,4843,56730,Culberson
111,4002,3933,4169,4122,48678,Dallam
113,6515,5849,5596,6078,72114,Dallas
115,3757,3791,3572,3940,45180,Dawson
117,3950,3903,3874,4033,47280,Deaf Smith
119,3073,3585,3089,3345,39276,Delta
121,4774,4518,4384,4656,54996,Denton
123,4153,4083,4003,4216,49365,DeWitt
125,2815,2905,2902,3001,34869,Dickens
127,5503,4806,4733,5043,60255,Dimmit
129,2769,2960,2685,3043,34371,Donley
131,3191,3114,3286,3314,38715,Duval
133,4366,4248,4366,4253,51699,Eastland
135,5573,5467,5398,5762,66600,Ector
137,2638,2465,2458,2788,31047,Edwards
139,4041,4085,3916,4187,48687,Ellis
141,3360,3363,3238,3434,40185,El Paso
143,3202,3281,3127,3242,38556,Erath
145,3504,3455,3398,3660,42051,Falls
147,3294,3493,3334,3617,41214,Fannin
149,4198,3995,3977,4417,49761,Fayette
151,3465,3468,3494,3607,42102,Fisher
153,3198,3086,3028,3529,38523,Floyd
155,2606,2600,2452,2733,31173,Foard
157,4809,4489,4394,4713,55215,Fort Bend
159,3422,3336,3122,3153,39099,Franklin
161,3876,3864,3964,4203,47721,Freestone
163,4536,4492,4514,4758,54900,Frio
165,5087,4622,4613,5150,58416,Gaines
167,4509,4498,4250,4429,53058,Galveston
169,3686,3936,3462,3822,44718,Garza
171,3313,3519,3332,3650,41442,Gillespie
173,6275,5138,4624,5338,64125,Glasscock
175,4372,3838,3830,3772,47436,Goliad
177,3751,3652,3716,3727,44538,Gonzales
