county,20151,20152,20143,20144,total,county_name
001,3474,3398,3539,3714,42375,Anderson
003,5421,5316,5475,5913,66375,Andrews
005,3360,3312,3455,3642,41307,Angelina
007,3306,3323,3427,3475,40593,Aransas
009,2978,3056,3514,3680,39684,Archer
011,2986,3051,2957,4047,39123,Armstrong
013,3943,3883,4200,4439,49395,Atascosa
015,3649,3599,3902,4150,45900,Austin
017,3057,3158,3062,3423,38100,Bailey
019,2848,3086,3293,3055,36846,Bandera
021,3073,3129,3086,3365,37959,Bastrop
023,2634,2433,2776,2923,32298,Baylor
025,3635,3284,3366,3745,42090,Bee
027,3620,3506,3609,3614,43047,Bell
029,4286,3853,3817,4128,48252,Bexar
031,3352,3384,3499,3841,42228,Blanco
033,3074,3314,3109,3534,39093,Borden
035,3174,3160,3082,3439,38565,Bosque
037,3093,3239,3162,3454,38844,Bowie
039,4933,4538,4382,4900,56259,Brazoria
041,3474,3358,3433,3610,41625,Brazos
043,3056,3003,3234,3539,38496,Brewster
045,3028,3015,2970,3218,36693,Briscoe
047,3019,3043,3165,3392,37857,Brooks
049,3454,3314,3351,3388,40521,Brown
051,3414,3481,3533,3952,43140,Burleson
053,3321,3378,3414,3726,41517,Burnet
055,3058,3072,2994,3281,37215,Caldwell
057,5748,5580,5436,5839,67809,Calhoun
059,3014,3050,3125,3828,39051,Callahan
061,2582,2620,2669,2777,31944,Cameron
063,3504,3243,3238,3442,40281,Camp
065,6218,6868,6098,6971,78465,Carson
067,2969,3022,2927,3220,36414,Cass
069,2953,2967,3014,3385,36957,Castro
071,5092,5033,4679,5307,60333,Chambers
073,2809,2907,2862,3030,34824,Cherokee
075,2954,3116,2606,3313,35967,Childress
077,2834,2979,2922,2966,35103,Clay
079,3087,3282,3131,3344,38532,Cochran
081,3103,3136,2907,3077,36669,Coke
083,2589,2615,2559,2750,31539,Coleman
085,5745,5270,5094,5439,64644,Collin
087,3098,3191,3151,3522,38886,Collingsworth
089,3301,3557,3275,3911,42132,Colorado
091,3611,3579,3571,3802,43689,Comal
093,2772,2786,2713,2956,33681,Comanche
095,2991,2850,2881,2916,34914,Concho
097,3901,3840,4125,4280,48438,Cooke
099,3255,3362,3212,3323,39456,Coryell
101,3195,2966,2876,2929,35898,Cottle
103,6231,5366,5866,5969,70296,Crane
105,3617,3476,3580,3775,43344,Crockett
107,3137,2935,2929,3384,37155,Crosby
109,3145,3313,2985,3157,37800,Culberson
111,3468,3500,3665,3966,43797,Dallam
113,5785,5253,5130,5589,65271,Dallas
115,3254,3320,3356,3704,40902,Dawson
117,3377,3479,3382,3701,41817,Deaf Smith
119,2401,2655,2357,2443,29568,Delta
121,4175,4083,3998,4420,50028,Denton
123,3891,3791,3820,4381,47649,DeWitt
125,2639,2671,2990,2905,33615,Dickens
127,4057,3822,4248,4394,49563,Dimmit
129,2439,2578,2510,2622,30447,Donley
131,3248,3344,3586,4028,42618,Duval
133,4093,3662,4113,4205,48219,Eastland
135,4951,4763,5107,5705,61578,Ector
137,2266,2444,2300,2612,28866,Edwards
139,3532,3539,3656,3860,43761,Ellis
141,3069,3030,3021,3205,36975,El Paso
143,2932,2914,2923,3151,35760,Erath
145,3020,3065,3012,3376,37419,Falls
147,2977,3000,3085,3276,37014,Fannin
149,3662,3567,3789,4221,45717,Fayette
151,2885,3147,2912,3254,36594,Fisher
153,2809,2905,3004,3420,36414,Floyd
155,2083,2287,2095,2377,26526,Foard
157,4836,4388,4448,4880,55656,Fort Bend
159,2700,2861,2648,2819,33084,Franklin
161,4357,4023,4057,4322,50277,Freestone
163,4522,4105,4921,4756,54912,Frio
165,4571,4166,4220,4843,53400,Gaines
167,4018,4156,3869,4248,48873,Galveston
169,3258,3052,3352,3461,39369,Garza
171,2879,3046,2997,3285,36621,Gillespie
173,4677,4503,4016,4936,54396,Glasscock
175,9071,4954,4872,5340,72711,Goliad
177,3342,3362,3375,3582,40983,Gonzales
179,4646,3943,4305,4769,52989,Gray
181,3615,3491,3526,3773,43215,Grayson
183,4183,4018,4231,4548,50940,Gregg
185,4447,3976,4219,4738,52140,Grimes
187,3672,3679,3632,3971,44862,Guadalupe
189,2980,2964,2971,3239,36462,Hale
191,3002,2935,3083,3180,36600,Hall
193,2761,2999,2886,3120,35298,Hamilton
195,5602,4309,4357,4854,57366,Hansford
197,3032,3121,2959,3272,37152,Hardeman
199,3419,3394,3396,3715,41772,Hardin
201,6542,5557,5604,6200,71709,Harris
203,4220,4034,4004,4574,50496,Harrison
205,3328,3374,3330,3745,41331,Hartley
207,2661,2709,2689,2941,33000,Haskell
209,3269,3354,3280,3517,40260,Hays
211,8119,5841,6023,7900,83649,Hemphill
213,3220,3216,3214,3383,39099,Henderson
215,2714,2801,2762,2967,33732,Hidalgo
217,3561,3587,3541,3776,43395,Hill
219,4371,4111,4581,4894,53871,Hockley
221,3826,3670,3991,4188,47025,Hood
223,3364,3477,3255,3500,40788,Hopkins
225,4770,4311,4050,4950,54243,Houston
227,4131,4097,3987,4290,49515,Howard
229,2833,3137,2812,3048,35490,Hudspeth
231,4050,4129,3780,4234,48579,Hunt
233,6492,5119,5188,5473,66816,Hutchinson
235,5968,4860,7831,7485,78432,Irion
237,3946,3912,4496,4969,51969,Jack
239,3646,3541,3662,3914,44289,Jackson
241,3520,3433,3557,4001,43533,Jasper
243,3072,3211,3105,3097,37455,Jeff Davis
245,5016,4766,4603,5102,58461,Jefferson
247,2442,2389,4568,2701,36300,Jim Hogg
249,4274,3894,4762,5162,54276,Jim Wells
251,3619,3600,3764,3948,44793,Johnson
253,2989,3071,3132,3533,38175,Jones
255,4684,4202,4238,4723,53541,Karnes
257,3316,3363,3310,3619,40824,Kaufman
259,4250,4279,4144,4508,51543,Kendall
261,5243,5379,5678,6698,68994,Kenedy
263,2705,3159,2721,2950,34605,Kent
265,3174,3307,3265,3420,39498,Kerr
267,2289,2380,2346,2599,28842,Kimble
269,4272,5163,4824,5708,59901,King
271,2628,2840,2797,2976,33723,Kinney
273,3006,2847,3165,3306,36972,Kleberg
275,3432,3190,3845,3739,42618,Knox
277,3476,3525,3453,3799,42759,Lamar
279,2974,3133,2926,3208,36723,Lamb
281,2823,2951,2877,3061,35136,Lampasas
283,4867,5415,5061,6632,65925,La Salle
285,3273,3236,3332,4102,41829,Lavaca
287,3939,3966,4308,4925,51414,Lee
289,3985,4052,4204,4743,50952,Leon
291,3737,3545,3805,3944,45093,Liberty
293,3203,3159,3072,3189,37869,Limestone
295,3460,3441,3524,5323,47244,Lipscomb
297,5181,4194,4605,5297,57831,Live Oak
299,2882,3006,2865,3023,35328,Llano
301,6327,2586,4846,5155,56742,Loving
303,3493,3477,3524,3722,42648,Lubbock
305,3020,3146,3034,3285,37455,Lynn
307,5297,4652,4839,5152,59820,McCulloch
309,3574,3637,3586,3923,44160,McLennan
311,5242,5439,5230,5738,64947,McMullen
313,3256,3384,3341,3528,40527,Madison
315,2583,2587,2601,2750,31563,Marion
317,4153,4230,4250,5013,52938,Martin
319,2494,2541,2554,2937,31578,Mason
321,5395,4655,4508,4671,57687,Matagorda
323,2422,2415,2479,2628,29832,Maverick
325,3031,2947,3114,3348,37320,Medina
327,2301,2438,2268,2550,28671,Menard
329,6190,5836,6002,6827,74565,Midland
331,3736,3877,3512,3757,44646,Milam
333,2652,2754,2680,2854,32820,Mills
335,3726,3400,3650,3731,43521,Mitchell
337,3329,3408,3684,4113,43602,Montague
339,4895,4593,4446,4939,56619,Montgomery
341,4886,4091,4288,4600,53595,Moore
343,4296,3460,4180,4621,49671,Morris
345,2478,2446,2307,2467,29094,Motley
347,3178,3134,3147,3352,38433,Nacogdoches
349,3033,2998,3093,3248,37116,Navarro
351,2420,2636,2626,2640,30966,Newton
353,3524,3552,3464,3753,42879,Nolan
355,3914,3816,3893,4252,47625,Nueces
357,5856,5055,5492,6753,69468,Ochiltree
359,3784,3558,3606,3854,44406,Oldham
361,4456,4305,4287,4608,52968,Orange
363,3218,3347,3382,3714,40983,Palo Pinto
365,4265,4016,4325,4581,51561,Panola
367,4000,3732,3901,4235,47604,Parker
369,3062,3118,3267,3330,38331,Parmer
371,4073,3866,4080,4281,48900,Pecos
373,3177,3199,3200,3470,39138,Polk
375,3524,3460,3612,3806,43206,Potter
377,2522,2605,2498,2553,30534,Presidio
379,2596,2666,2698,2950,32730,Rains
381,3305,3347,3223,3586,40383,Randall
383,4701,4535,5177,5534,59841,Reagan
385,2204,2202,2173,2341,26760,Real
387,2552,2627,2624,2801,31812,Red River
389,3848,3704,3781,4021,46062,Reeves
391,3630,3542,4112,4510,47382,Refugio
393,3660,3203,3482,3626,41913,Roberts
395,3481,3450,3330,3905,42498,Robertson
397,3410,3543,3507,3863,42969,Rockwall
399,2905,3088,3027,3258,36834,Runnels
401,3917,3767,3804,4121,46827,Rusk
403,2906,3001,2919,3058,35652,Sabine
405,2710,2804,2835,3067,34248,San Augustine
407,3004,3140,2957,3146,36741,San Jacinto
409,4029,3962,4032,4269,48876,San Patricio
411,2425,2551,2544,2713,30699,San Saba
413,3790,3770,4011,4397,47904,Schleicher
415,4720,4692,5077,5587,60228,Scurry
417,4375,3804,5557,5102,56514,Shackelford
419,2853,3038,3043,3127,36183,Shelby
421,3188,3220,3190,3662,39780,Sherman
423,3755,3855,3825,4192,46881,Smith
425,5871,5037,4933,5881,65166,Somervell
